,Timestamp,Gmtoffset,Datetime,Open,High,Low,Close,Volume
0,1609770600,0,2021-01-04 14:30:00,133.570007,133.611602,132.389999,132.809997,6624663.0
1,1609770900,0,2021-01-04 14:35:00,132.75,132.75,131.809997,131.889999,2541553.0
2,1609771200,0,2021-01-04 14:40:00,131.5,132.339996,131.5,132.059997,2492415.0
3,1609771500,0,2021-01-04 14:45:00,132.0,132.25,131.899993,132.25,1859131.0
4,1609771800,0,2021-01-04 14:50:00,132.0,132.018096,131.520004,131.589996,1780105.0
5,1609772100,0,2021-01-04 14:55:00,132.0,132.089996,131.300003,131.448898,1889911.0
6,1609772400,0,2021-01-04 15:00:00,131.544998,131.669998,131.070007,131.119995,1897660.0
7,1609772700,0,2021-01-04 15:05:00,131.11,131.479995,130.794998,130.875,1977248.0
8,1609773000,0,2021-01-04 15:10:00,130.869995,131.089996,130.380004,130.509902,2326988.0
9,1609773300,0,2021-01-04 15:15:00,130.5,130.960006,130.470001,130.889999,1596651.0
10,1609773600,0,2021-01-04 15:20:00,130.886795,131.11,130.839996,130.935806,1444768.0
11,1609773900,0,2021-01-04 15:25:00,130.930099,131.149993,130.789993,131.053604,1222052.0
12,1609774200,0,2021-01-04 15:30:00,131.054992,131.240005,130.600006,130.684005,1479445.0
13,1609774500,0,2021-01-04 15:35:00,130.680694,131.139999,130.559997,131.115097,1150255.0
14,1609774800,0,2021-01-04 15:40:00,131.111297,131.309997,131.029998,131.044998,1253385.0
15,1609775100,0,2021-01-04 15:45:00,131.044006,131.044006,130.479995,130.749893,1730254.0
16,1609775400,0,2021-01-04 15:50:00,130.75,130.830001,130.449996,130.709793,1887654.0
17,1609775700,0,2021-01-04 15:55:00,130.700103,131.25,130.699996,131.0,1608419.0
18,1609776000,0,2021-01-04 16:00:00,131.134994,131.309997,130.160003,130.309997,2055970.0
19,1609776300,0,2021-01-04 16:05:00,130.309997,130.549896,129.660003,129.866699,3030766.0
20,1609776600,0,2021-01-04 16:10:00,129.86,130.239898,129.399993,130.089996,2231137.0
21,1609776900,0,2021-01-04 16:15:00,130.080093,130.354995,129.904602,130.324996,1328068.0
22,1609777200,0,2021-01-04 16:20:00,130.324005,130.419998,129.930099,129.996398,1233893.0
23,1609777500,0,2021-01-04 16:25:00,129.994995,130.206695,129.880004,129.895004,1144809.0
24,1609777800,0,2021-01-04 16:30:00,129.889892,130.089996,129.619995,129.910003,1379536.0
25,1609778100,0,2021-01-04 16:35:00,129.914794,129.929992,129.600006,129.690002,1060015.0
26,1609778400,0,2021-01-04 16:40:00,129.679992,129.679992,129.270004,129.390106,1729037.0
27,1609778700,0,2021-01-04 16:45:00,129.399993,129.585006,129.329299,129.413299,1180904.0
28,1609779000,0,2021-01-04 16:50:00,129.410003,129.529998,129.11,129.148498,1457144.0
29,1609779300,0,2021-01-04 16:55:00,129.130004,129.179992,128.789993,128.820007,2439704.0
30,1609779600,0,2021-01-04 17:00:00,128.809997,128.919296,128.399993,128.580001,2340696.0
31,1609779900,0,2021-01-04 17:05:00,128.596694,128.770004,128.330001,128.351699,1508454.0
32,1609780200,0,2021-01-04 17:10:00,128.233398,128.249893,127.4001,127.410003,4419879.0
33,1609780500,0,2021-01-04 17:15:00,127.410003,128.029998,126.760002,128.005004,2891333.0
34,1609780800,0,2021-01-04 17:20:00,128.000793,128.399993,127.75,128.289993,1956101.0
35,1609781100,0,2021-01-04 17:25:00,128.289993,128.320007,127.889999,128.25,1331407.0
36,1609781400,0,2021-01-04 17:30:00,128.246902,128.310104,127.910003,128.119995,1314757.0
37,1609781700,0,2021-01-04 17:35:00,128.125,128.210006,127.889999,127.955001,982464.0
38,1609782000,0,2021-01-04 17:40:00,127.950103,128.020004,127.720001,127.980003,1238030.0
39,1609782300,0,2021-01-04 17:45:00,127.985,127.985,127.650001,127.710098,910041.0
40,1609782600,0,2021-01-04 17:50:00,127.709999,128.289993,127.630096,128.229995,1161917.0
41,1609782900,0,2021-01-04 17:55:00,128.225006,128.594497,128.169998,128.419998,1592648.0
42,1609783200,0,2021-01-04 18:00:00,128.410003,128.600006,128.255996,128.320007,1250689.0
43,1609783500,0,2021-01-04 18:05:00,128.330001,128.570007,128.050003,128.565002,1371017.0
44,1609783800,0,2021-01-04 18:10:00,128.559997,128.889892,128.510498,128.779998,1313608.0
45,1609784100,0,2021-01-04 18:15:00,128.774993,128.889999,128.619995,128.755004,1276775.0
46,1609784400,0,2021-01-04 18:20:00,128.750106,129.070007,128.720001,129.050003,1210041.0
47,1609784700,0,2021-01-04 18:25:00,129.044998,129.11,128.900604,129.039794,1123076.0
48,1609785000,0,2021-01-04 18:30:00,129.039993,129.059997,128.595001,128.652999,974564.0
49,1609785300,0,2021-01-04 18:35:00,128.654998,128.979995,128.639999,128.807601,931027.0
50,1609785600,0,2021-01-04 18:40:00,128.820007,129.009994,128.800003,128.869995,753250.0
51,1609785900,0,2021-01-04 18:45:00,128.899993,128.949996,128.820007,128.946792,539646.0
52,1609786200,0,2021-01-04 18:50:00,128.945007,129.183807,128.835006,129.169998,797488.0
53,1609786500,0,2021-01-04 18:55:00,129.179992,129.199996,129.0,129.177795,739050.0
54,1609786800,0,2021-01-04 19:00:00,129.169998,129.199996,128.960006,129.089996,1058566.0
55,1609787100,0,2021-01-04 19:05:00,129.089996,129.139999,128.720001,128.75,1086323.0
56,1609787400,0,2021-01-04 19:10:00,128.764999,128.990005,128.619995,128.914993,1102461.0
57,1609787700,0,2021-01-04 19:15:00,128.919998,129.179992,128.850006,129.050003,932498.0
58,1609788000,0,2021-01-04 19:20:00,129.039993,129.179992,128.850006,129.11,1053586.0
59,1609788300,0,2021-01-04 19:25:00,129.11,129.11,128.830001,128.960006,893319.0
60,1609788600,0,2021-01-04 19:30:00,128.960006,128.979995,128.789993,128.869995,779955.0
61,1609788900,0,2021-01-04 19:35:00,128.86,129.179992,128.86,129.059005,1291050.0
62,1609789200,0,2021-01-04 19:40:00,129.050003,129.139999,129.0,129.050003,928774.0
63,1609789500,0,2021-01-04 19:45:00,129.039993,129.154998,128.990005,129.005493,1108751.0
64,1609789800,0,2021-01-04 19:50:00,129.009994,129.010498,128.639999,128.725006,1257215.0
65,1609790100,0,2021-01-04 19:55:00,128.720092,129.579101,128.664993,129.487594,1471339.0
